Method:,Hadamard 1,,
1350.954689,1.510816,639197.000000,19716.000000
1354.352608,1.519345,637095.000000,19269.000000
1357.746110,1.526152,635707.000000,18928.000000
1361.135195,1.530482,635123.000000,18723.000000
1364.519863,1.538937,634326.000000,18339.000000
1367.900114,1.544089,633706.000000,18105.000000
1371.275948,1.553011,632818.000000,17712.000000
1374.647365,1.564070,631840.000000,17240.000000
1378.014364,1.578905,630473.000000,16625.000000
1381.376947,1.589214,628531.000000,16185.000000
1384.735112,1.606612,626532.000000,15500.000000
1389.205796,1.627239,624624.000000,14736.000000
1392.553655,1.640691,623113.000000,14252.000000
1395.897097,1.657807,620419.000000,13642.000000
1399.236121,1.669245,617552.000000,13226.000000
1402.570729,1.674998,614762.000000,12993.000000
1405.900920,1.682559,612223.000000,12716.000000
1409.226694,1.689512,609090.000000,12450.000000
1412.548050,1.693147,606267.000000,12289.000000
1415.864990,1.698780,604085.000000,12087.000000
1419.177512,1.700632,601598.000000,11986.000000
1422.485618,1.701946,599041.000000,11899.000000
1425.789306,1.702758,597337.000000,11843.000000
1430.187353,1.709780,596156.000000,11630.000000
1433.480735,1.713027,594897.000000,11519.000000
1436.769700,1.709728,593265.000000,11575.000000
1440.054247,1.709796,592538.000000,11559.000000
1443.334378,1.713878,592442.000000,11449.000000
1446.610092,1.714463,591634.000000,11418.000000
1449.881388,1.713949,590624.000000,11412.000000
1453.148268,1.714217,589538.000000,11384.000000
1456.410730,1.716093,588501.000000,11315.000000
1459.668775,1.715388,587287.000000,11310.000000
1462.922403,1.715114,585671.000000,11286.000000
1467.253703,1.715019,582794.000000,11233.000000
1470.497025,1.718444,580610.000000,11103.000000
1473.735930,1.718851,577909.000000,11041.000000
1476.970417,1.716760,575029.000000,11039.000000
1480.200488,1.718417,572573.000000,10950.000000
1483.426141,1.718007,569317.000000,10898.000000
1486.647377,1.715066,566200.000000,10912.000000
1489.864197,1.719320,563548.000000,10755.000000
1493.076599,1.717866,560672.000000,10736.000000
1496.284584,1.719846,557463.000000,10626.000000
1499.488152,1.719333,554342.000000,10579.000000
1502.687303,1.715922,551461.000000,10607.000000
1506.945967,1.710551,547148.000000,10655.000000
1510.134811,1.711499,543660.000000,10564.000000
1513.319239,1.715040,539758.000000,10403.000000
1516.499249,1.712832,535471.000000,10373.000000
1519.674842,1.709976,532013.000000,10374.000000
1522.846019,1.708116,528361.000000,10347.000000
1526.012778,1.704530,524573.000000,10358.000000
1529.175120,1.709885,520416.000000,10150.000000
1532.333045,1.707677,516298.000000,10121.000000
1535.486553,1.702343,511961.000000,10160.000000
1538.635644,1.700397,507264.000000,10112.000000
1541.780317,1.701568,502598.000000,9992.000000
1545.966345,1.697199,495525.000000,9951.000000
1549.100712,1.693485,490417.000000,9933.000000
1552.230662,1.690828,485561.000000,9895.000000
1555.356195,1.695637,480300.000000,9680.000000
1558.477312,1.692782,475181.000000,9640.000000
1561.594011,1.688679,469394.000000,9613.000000
1564.706292,1.688348,463084.000000,9491.000000
1567.814157,1.678331,456769.000000,9580.000000
1570.917605,1.683056,449763.000000,9331.000000
1574.016636,1.677472,442305.000000,9295.000000
1577.111250,1.676483,435601.000000,9175.000000
1580.201446,1.676212,429304.000000,9048.000000
1584.314837,1.678581,419868.000000,8801.000000
1587.394727,1.677035,412909.000000,8686.000000
1590.470200,1.678383,405705.000000,8508.000000
1593.541256,1.666158,398199.000000,8589.000000
1596.607895,1.672485,391483.000000,8322.000000
1599.670117,1.669904,384206.000000,8216.000000
1602.727922,1.668657,376903.000000,8083.000000
1605.781309,1.661588,369166.000000,8047.000000
1608.830280,1.659374,361766.000000,7926.000000
1611.874833,1.658738,354492.000000,7778.000000
1614.914970,1.660242,346895.000000,7585.000000
1618.961614,1.654470,336764.000000,7462.000000
1621.991444,1.647659,328280.000000,7389.000000
1625.016857,1.651266,320983.000000,7165.000000
1628.037853,1.653413,313615.000000,6966.000000
1631.054431,1.647817,305822.000000,6881.000000
1634.066593,1.644860,298052.000000,6752.000000
1637.074338,1.639282,289847.000000,6651.000000
1640.077665,1.645724,282546.000000,6388.000000
1643.076576,1.645897,275048.000000,6216.000000
1646.071069,1.645569,267456.000000,6049.000000
1649.061145,1.636058,259413.000000,5997.000000
1652.046804,1.626985,251508.000000,5937.000000
1656.020812,1.627360,240659.000000,5676.000000
1658.996165,1.632098,231683.000000,5405.000000
1661.967101,1.620807,221811.000000,5311.000000
1664.933619,1.614889,211187.000000,5126.000000
1667.895721,1.607971,198159.000000,4887.000000
1670.853405,1.604963,183583.000000,4559.000000
1673.806673,1.573149,166424.000000,4447.000000
1676.755523,1.562684,147885.000000,4048.000000
1679.699956,1.547935,128928.000000,3651.000000
1682.639972,1.532088,110621.000000,3249.000000
1685.575571,1.538750,94076.000000,2721.000000
1688.506753,1.512900,79942.000000,2454.000000
1692.408125,1.517014,64161.000000,1951.000000
1695.329001,1.532908,54477.000000,1597.000000
1698.245459,1.525562,46654.000000,1391.000000
1701.157501,1.514152,40021.000000,1225.000000
