Method:,Hadamard 1,,
Host Date-Time:,21/9/17 @ 15:48:18,,
Header Version:,1,,
System Temp (C):,35.1,,
Detector Temp (C):,31.42,,
Humidity (%):,16.01,,
Lamp PD:,3784,,
Shift Vector Coefficients:,-4.94391,0.050722,-0.00012551,,
Pixel to Wavelength Coefficients:,1825.37,-0.904915,-0.000245393,,
Serial Number:,5490013,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,  2.704,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.954013,1.165424,49060.000000,3352.000000
905.892287,1.157886,55034.000000,3826.000000
909.826144,1.158073,60670.000000,4216.000000
913.755584,1.161143,66564.000000,4593.000000
917.680607,1.163894,73798.000000,5060.000000
921.601213,1.176643,82680.000000,5505.000000
925.517402,1.173300,93358.000000,6264.000000
929.429174,1.176132,105370.000000,7024.000000
933.336529,1.190010,117914.000000,7613.000000
937.239466,1.190598,129489.000000,8349.000000
941.137987,1.191163,140109.000000,9022.000000
945.032090,1.196518,149394.000000,9502.000000
950.217358,1.204750,160809.000000,10036.000000
954.101155,1.209121,168910.000000,10436.000000
957.980534,1.220880,177304.000000,10662.000000
961.855497,1.223646,185081.000000,11059.000000
965.726043,1.221080,193890.000000,11654.000000
969.592172,1.229572,202944.000000,11962.000000
973.453884,1.221452,211673.000000,12712.000000
977.311178,1.222976,220789.000000,13213.000000
981.164056,1.223212,229670.000000,13737.000000
985.012516,1.220201,238709.000000,14377.000000
988.856560,1.217531,247015.000000,14969.000000
992.696186,1.212350,254995.000000,15638.000000
997.808817,1.209133,264443.000000,16338.000000
1001.638136,1.203760,271279.000000,16969.000000
1005.463039,1.197004,277527.000000,17632.000000
1009.283525,1.196103,282638.000000,17994.000000
1013.099593,1.191135,286846.000000,18472.000000
1016.911245,1.188404,290773.000000,18843.000000
1020.718479,1.185667,294344.000000,19195.000000
1024.521297,1.181157,296615.000000,19545.000000
1028.319697,1.177967,298225.000000,19796.000000
1032.113680,1.175310,299236.000000,19985.000000
1035.903247,1.170151,300008.000000,20276.000000
1039.688396,1.166539,299754.000000,20428.000000
1044.728390,1.160064,299178.000000,20695.000000
1048.503233,1.161037,298603.000000,20609.000000
1052.273658,1.158946,298841.000000,20725.000000
1056.039667,1.156939,298985.000000,20831.000000
1059.801258,1.156716,298645.000000,20818.000000
1063.558432,1.156242,299136.000000,20875.000000
1067.311190,1.153195,299179.000000,21025.000000
1071.059530,1.154585,299581.000000,20986.000000
1074.803453,1.153994,300243.000000,21061.000000
1078.542959,1.157074,301102.000000,20972.000000
1082.278048,1.160446,302928.000000,20936.000000
1087.251296,1.160003,304860.000000,21091.000000
1090.976078,1.162591,305940.000000,21040.000000
1094.696443,1.166508,308331.000000,21014.000000
1098.412392,1.170065,310748.000000,21006.000000
1102.123923,1.174378,312998.000000,20949.000000
1105.831037,1.177676,315098.000000,20930.000000
1109.533734,1.181969,317331.000000,20871.000000
1113.232014,1.186732,320031.000000,20819.000000
1116.925877,1.191847,322065.000000,20706.000000
1120.615323,1.197281,324387.000000,20596.000000
1124.300352,1.204535,326504.000000,20387.000000
1127.980964,1.216958,328628.000000,19941.000000
1132.881575,1.235791,331748.000000,19276.000000
1136.551880,1.249038,334038.000000,18826.000000
1140.217768,1.268192,336305.000000,18136.000000
1143.879240,1.287447,338467.000000,17461.000000
1147.536294,1.307146,341029.000000,16813.000000
1151.188931,1.323426,343568.000000,16315.000000
1154.837150,1.339945,346388.000000,15835.000000
1158.480953,1.350919,348724.000000,15544.000000
1162.120339,1.360887,351242.000000,15301.000000
1165.755308,1.372265,353874.000000,15017.000000
1169.385859,1.375658,356649.000000,15017.000000
1173.011994,1.377516,359562.000000,15075.000000
1177.839969,1.390502,363963.000000,14810.000000
1181.455797,1.392081,367114.000000,14884.000000
1185.067208,1.397571,371459.000000,14871.000000
1188.674202,1.401951,376057.000000,14904.000000
1192.276779,1.409207,381213.000000,14858.000000
1195.874938,1.408728,386738.000000,15090.000000
1199.468681,1.410771,391755.000000,15214.000000
1203.058007,1.414161,397005.000000,15298.000000
1206.642915,1.415397,402743.000000,15475.000000
1210.223407,1.415052,408846.000000,15722.000000
1213.799481,1.420480,414567.000000,15744.000000
1217.371139,1.416006,420274.000000,16126.000000
1222.126477,1.415151,429462.000000,16511.000000
1225.687828,1.411979,436148.000000,16891.000000
1229.244762,1.408408,442616.000000,17283.000000
1232.797279,1.405889,449528.000000,17655.000000
1236.345378,1.402516,456181.000000,18056.000000
1239.889061,1.402072,463539.000000,18366.000000
1243.428326,1.395479,470079.000000,18910.000000
1246.963175,1.393605,477832.000000,19305.000000
1250.493606,1.392560,486017.000000,19683.000000
1254.019620,1.388850,493169.000000,20144.000000
1257.541217,1.389004,500985.000000,20456.000000
1262.229809,1.388690,512345.000000,20935.000000
1265.741100,1.386274,521283.000000,21419.000000
1269.247974,1.387417,529269.000000,21690.000000
1272.750430,1.385229,537340.000000,22132.000000
1276.248470,1.386322,545875.000000,22427.000000
1279.742092,1.386522,555063.000000,22794.000000
1283.231297,1.388251,564343.000000,23083.000000
1286.716086,1.390431,572146.000000,23285.000000
1290.196457,1.390453,579645.000000,23589.000000
1293.672411,1.394223,587401.000000,23698.000000
1297.143948,1.398944,594698.000000,23733.000000
1300.611068,1.402427,600598.000000,23777.000000
1305.227024,1.410917,608153.000000,23610.000000
1308.683837,1.415217,613606.000000,23587.000000
1312.136234,1.424594,618333.000000,23261.000000
1315.584213,1.428694,622186.000000,23186.000000
1319.027775,1.438082,626212.000000,22837.000000
1322.466920,1.448081,629123.000000,22421.000000
1325.901648,1.455932,632257.000000,22129.000000
1329.331960,1.464726,634373.000000,21758.000000
1332.757853,1.473504,637449.000000,21426.000000
1336.179330,1.480115,638859.000000,21149.000000
1339.596390,1.489362,639307.000000,20718.000000
1343.009033,1.496757,639741.000000,20382.000000
1347.552352,1.505423,639954.000000,19986.000000
