Method:,Hadamard 1,,
1032.113680,1.160589,299236.000000,20674.000000
1035.903247,1.157111,300008.000000,20894.000000
1039.688396,1.150470,299754.000000,21198.000000
1044.728390,1.149450,299178.000000,21207.000000
1048.503233,1.145859,298603.000000,21342.000000
1052.273658,1.141308,298841.000000,21584.000000
1056.039667,1.136994,298985.000000,21810.000000
1059.801258,1.135942,298645.000000,21838.000000
1063.558432,1.131555,299136.000000,22096.000000
1067.311190,1.129930,299179.000000,22182.000000
1071.059530,1.127956,299581.000000,22313.000000
1074.803453,1.124692,300243.000000,22531.000000
1078.542959,1.124336,301102.000000,22614.000000
1082.278048,1.124664,302928.000000,22734.000000
1087.251296,1.122694,304860.000000,22983.000000
1090.976078,1.121010,305940.000000,23154.000000
1094.696443,1.122090,308331.000000,23277.000000
1098.412392,1.122432,310748.000000,23441.000000
1102.123923,1.123901,312998.000000,23531.000000
1105.831037,1.123404,315098.000000,23716.000000
1109.533734,1.123860,317331.000000,23859.000000
1113.232014,1.127067,320031.000000,23885.000000
1116.925877,1.128348,322065.000000,23966.000000
1120.615323,1.131015,324387.000000,23991.000000
1124.300352,1.136619,326504.000000,23838.000000
1127.980964,1.141718,328628.000000,23713.000000
1132.881575,1.155620,331748.000000,23184.000000
1136.551880,1.169611,334038.000000,22604.000000
1140.217768,1.186170,336305.000000,21906.000000
1143.879240,1.200913,338467.000000,21311.000000
1147.536294,1.218250,341029.000000,20632.000000
1151.188931,1.233162,343568.000000,20084.000000
1154.837150,1.244436,346388.000000,19730.000000
1158.480953,1.257578,348724.000000,19271.000000
1162.120339,1.268731,351242.000000,18918.000000
1165.755308,1.274645,353874.000000,18802.000000
1169.385859,1.282168,356649.000000,18624.000000
1173.011994,1.287453,359562.000000,18549.000000
1177.839969,1.293721,363963.000000,18507.000000
1181.455797,1.295101,367114.000000,18608.000000
1185.067208,1.300398,371459.000000,18600.000000
1188.674202,1.305974,376057.000000,18590.000000
1192.276779,1.310116,381213.000000,18666.000000
1195.874938,1.310129,386738.000000,18936.000000
1199.468681,1.312823,391755.000000,19063.000000
1203.058007,1.313396,397005.000000,19293.000000
1206.642915,1.312838,402743.000000,19597.000000
1210.223407,1.312598,408846.000000,19905.000000
1213.799481,1.311921,414567.000000,20215.000000
1217.371139,1.308045,420274.000000,20677.000000
1222.126477,1.304504,429462.000000,21302.000000
1225.687828,1.301496,436148.000000,21784.000000
1229.244762,1.297489,442616.000000,22312.000000
1232.797279,1.294879,449528.000000,22797.000000
1236.345378,1.288754,456181.000000,23463.000000
1239.889061,1.286980,463539.000000,23939.000000
1243.428326,1.281430,470079.000000,24589.000000
1246.963175,1.280537,477832.000000,25046.000000
1250.493606,1.277276,486017.000000,25667.000000
1254.019620,1.275159,493169.000000,26172.000000
1257.541217,1.276317,500985.000000,26516.000000
1262.229809,1.273877,512345.000000,27270.000000
1265.741100,1.273998,521283.000000,27738.000000
1269.247974,1.274553,529269.000000,28127.000000
1272.750430,1.274826,537340.000000,28538.000000
1276.248470,1.273783,545875.000000,29061.000000
1279.742092,1.274977,555063.000000,29469.000000
1283.231297,1.275291,564343.000000,29940.000000
1286.716086,1.277802,572146.000000,30179.000000
1290.196457,1.278464,579645.000000,30528.000000
1293.672411,1.280426,587401.000000,30797.000000
1297.143948,1.284943,594698.000000,30857.000000
1300.611068,1.289991,600598.000000,30803.000000
1305.227024,1.296818,608153.000000,30704.000000
1308.683837,1.305130,613606.000000,30392.000000
1312.136234,1.313638,618333.000000,30032.000000
1315.584213,1.322452,622186.000000,29612.000000
1319.027775,1.329084,626212.000000,29352.000000
1322.466920,1.341854,629123.000000,28634.000000
1325.901648,1.350614,632257.000000,28202.000000
1329.331960,1.363992,634373.000000,27438.000000
1332.757853,1.372005,637449.000000,27067.000000
1336.179330,1.383094,638859.000000,26443.000000
1339.596390,1.395017,639307.000000,25745.000000
1343.009033,1.403571,639741.000000,25260.000000
1347.552352,1.416805,639954.000000,24510.000000
1350.954689,1.425387,639197.000000,24002.000000
1354.352608,1.435917,637095.000000,23350.000000
1357.746110,1.445037,635707.000000,22815.000000
1361.135195,1.452125,635123.000000,22425.000000
1364.519863,1.461829,634326.000000,21902.000000
1367.900114,1.470866,633706.000000,21430.000000
1371.275948,1.485183,632818.000000,20706.000000
1374.647365,1.499925,631840.000000,19984.000000
1378.014364,1.519931,630473.000000,19043.000000
1381.376947,1.541922,628531.000000,18047.000000
1384.735112,1.569365,626532.000000,16888.000000
1389.205796,1.607112,624624.000000,15435.000000
1392.553655,1.639109,623113.000000,14304.000000
1395.897097,1.673693,620419.000000,13152.000000
1399.236121,1.701440,617552.000000,12281.000000
1402.570729,1.729333,614762.000000,11465.000000
1405.900920,1.749443,612223.000000,10901.000000
1409.226694,1.773915,609090.000000,10251.000000
1412.548050,1.785627,606267.000000,9932.000000
1415.864990,1.802096,604085.000000,9528.000000
1419.177512,1.808960,601598.000000,9340.000000
1422.485618,1.817891,599041.000000,9111.000000
1425.789306,1.830406,597337.000000,8827.000000
1430.187353,1.840811,596156.000000,8601.000000
1433.480735,1.840651,594897.000000,8586.000000
1436.769700,1.843983,593265.000000,8497.000000
1440.054247,1.845859,592538.000000,8450.000000
1443.334378,1.852209,592442.000000,8326.000000
1446.610092,1.859459,591634.000000,8177.000000
1449.881388,1.857074,590624.000000,8208.000000
1453.148268,1.853479,589538.000000,8261.000000
1456.410730,1.861155,588501.000000,8102.000000
1459.668775,1.863919,587287.000000,8034.000000
1462.922403,1.864672,585671.000000,7998.000000
1467.253703,1.863675,582794.000000,7977.000000
1470.497025,1.852780,580610.000000,8149.000000
1473.735930,1.859857,577909.000000,7980.000000
1476.970417,1.854812,575029.000000,8033.000000
1480.200488,1.850635,572573.000000,8076.000000
1483.426141,1.851559,569317.000000,8013.000000
1486.647377,1.841759,566200.000000,8151.000000
1489.864197,1.838125,563548.000000,8181.000000
1493.076599,1.844534,560672.000000,8020.000000
1496.284584,1.833675,557463.000000,8176.000000
1499.488152,1.832514,554342.000000,8152.000000
1502.687303,1.825324,551461.000000,8245.000000
1506.945967,1.820337,547148.000000,8275.000000
1510.134811,1.810841,543660.000000,8404.000000
1513.319239,1.813540,539758.000000,8292.000000
1516.499249,1.807778,535471.000000,8336.000000
1519.674842,1.800404,532013.000000,8424.000000
1522.846019,1.793563,528361.000000,8499.000000
1526.012778,1.794442,524573.000000,8421.000000
1529.175120,1.789391,520416.000000,8452.000000
1532.333045,1.779920,516298.000000,8570.000000
1535.486553,1.777830,511961.000000,8539.000000
1538.635644,1.770685,507264.000000,8601.000000
1541.780317,1.770221,502598.000000,8531.000000
1545.966345,1.757147,495525.000000,8668.000000
1549.100712,1.751346,490417.000000,8694.000000
1552.230662,1.746226,485561.000000,8710.000000
1555.356195,1.739058,480300.000000,8759.000000
1558.477312,1.740345,475181.000000,8640.000000
1561.594011,1.732368,469394.000000,8693.000000
1564.706292,1.727641,463084.000000,8670.000000
1567.814157,1.722078,456769.000000,8662.000000
1570.917605,1.718889,449763.000000,8592.000000
1574.016636,1.713248,442305.000000,8560.000000
1577.111250,1.711821,435601.000000,8458.000000
1580.201446,1.709936,429304.000000,8372.000000
1584.314837,1.704558,419868.000000,8290.000000
1587.394727,1.702093,412909.000000,8199.000000
1590.470200,1.700423,405705.000000,8087.000000
1593.541256,1.690651,398199.000000,8118.000000
1596.607895,1.688539,391483.000000,8020.000000
1599.670117,1.689363,384206.000000,7856.000000
1602.727922,1.685585,376903.000000,7774.000000
1605.781309,1.680787,369166.000000,7699.000000
1608.830280,1.677614,361766.000000,7600.000000
1611.874833,1.673215,354492.000000,7523.000000
1614.914970,1.666994,346895.000000,7468.000000
1618.961614,1.666269,336764.000000,7262.000000
1621.991444,1.670217,328280.000000,7015.000000
1625.016857,1.658539,320983.000000,7046.000000
1628.037853,1.656479,313615.000000,6917.000000
1631.054431,1.654047,305822.000000,6783.000000
1634.066593,1.653500,298052.000000,6619.000000
1637.074338,1.649122,289847.000000,6502.000000
1640.077665,1.640789,282546.000000,6461.000000
1643.076576,1.649687,275048.000000,6162.000000
1646.071069,1.648595,267456.000000,6007.000000
1649.061145,1.638527,259413.000000,5963.000000
1652.046804,1.639225,251508.000000,5772.000000
1656.020812,1.625299,240659.000000,5703.000000
1658.996165,1.636216,231683.000000,5354.000000
1661.967101,1.635104,221811.000000,5139.000000
1664.933619,1.627787,211187.000000,4976.000000
1667.895721,1.624731,198159.000000,4702.000000
1670.853405,1.606777,183583.000000,4540.000000
1673.806673,1.601497,166424.000000,4166.000000
1676.755523,1.580645,147885.000000,3884.000000
1679.699956,1.574168,128928.000000,3437.000000
1682.639972,1.554582,110621.000000,3085.000000
1685.575571,1.560850,94076.000000,2586.000000
1688.506753,1.554275,79942.000000,2231.000000
1692.408125,1.546723,64161.000000,1822.000000
1695.329001,1.567716,54477.000000,1474.000000
1698.245459,1.563038,46654.000000,1276.000000
1701.157501,1.549979,40021.000000,1128.000000
