Method:,Hadamard 1,,
Host Date-Time:,21/9/17 @ 16:3:17,,
Header Version:,1,,
System Temp (C):,35.53,,
Detector Temp (C):,31.77,,
Humidity (%):,16.18,,
Lamp PD:,3784,,
Shift Vector Coefficients:,-4.94391,0.050722,-0.00012551,,
Pixel to Wavelength Coefficients:,1825.37,-0.904915,-0.000245393,,
Serial Number:,5490013,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,  2.702,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.954013,1.218117,49060.000000,2969.000000
905.892287,1.217796,55034.000000,3333.000000
909.826144,1.219137,60670.000000,3663.000000
913.755584,1.218689,66564.000000,4023.000000
917.680607,1.233164,73798.000000,4314.000000
921.601213,1.242264,82680.000000,4733.000000
925.517402,1.243506,93358.000000,5329.000000
929.429174,1.238885,105370.000000,6079.000000
933.336529,1.245426,117914.000000,6701.000000
937.239466,1.242708,129489.000000,7405.000000
941.137987,1.241210,140109.000000,8040.000000
945.032090,1.235363,149394.000000,8689.000000
950.217358,1.234478,160809.000000,9372.000000
954.101155,1.235367,168910.000000,9824.000000
957.980534,1.235081,177304.000000,10319.000000
961.855497,1.232172,185081.000000,10844.000000
965.726043,1.234977,193890.000000,11287.000000
969.592172,1.240491,202944.000000,11665.000000
973.453884,1.231999,211673.000000,12407.000000
977.311178,1.230301,220789.000000,12992.000000
981.164056,1.228877,229670.000000,13559.000000
985.012516,1.221229,238709.000000,14343.000000
988.856560,1.220033,247015.000000,14883.000000
992.696186,1.216312,254995.000000,15496.000000
997.808817,1.204953,264443.000000,16496.000000
1001.638136,1.200420,271279.000000,17100.000000
1005.463039,1.194156,277527.000000,17748.000000
1009.283525,1.188637,282638.000000,18306.000000
1013.099593,1.184532,286846.000000,18755.000000
1016.911245,1.180162,290773.000000,19204.000000
1020.718479,1.175869,294344.000000,19633.000000
1024.521297,1.172969,296615.000000,19917.000000
1028.319697,1.166770,298225.000000,20313.000000
