Method:,Hadamard 1,,
Host Date-Time:,21/9/17 @ 16:4:3,,
Header Version:,1,,
System Temp (C):,35.68,,
Detector Temp (C):,31.8,,
Humidity (%):,16.27,,
Lamp PD:,3784,,
Shift Vector Coefficients:,-4.94391,0.050722,-0.00012551,,
Pixel to Wavelength Coefficients:,1825.37,-0.904915,-0.000245393,,
Serial Number:,5490013,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,  2.703,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.954013,1.248248,49060.000000,2770.000000
905.892287,1.257186,55034.000000,3044.000000
909.826144,1.254572,60670.000000,3376.000000
913.755584,1.274850,66564.000000,3535.000000
917.680607,1.273873,73798.000000,3928.000000
921.601213,1.281716,82680.000000,4322.000000
925.517402,1.276161,93358.000000,4943.000000
929.429174,1.288237,105370.000000,5426.000000
933.336529,1.300272,117914.000000,5906.000000
937.239466,1.299854,129489.000000,6492.000000
941.137987,1.302300,140109.000000,6985.000000
945.032090,1.316458,149394.000000,7209.000000
950.217358,1.316449,160809.000000,7760.000000
954.101155,1.327671,168910.000000,7943.000000
957.980534,1.335488,177304.000000,8189.000000
961.855497,1.340865,185081.000000,8443.000000
965.726043,1.343962,193890.000000,8782.000000
969.592172,1.352796,202944.000000,9007.000000
973.453884,1.344799,211673.000000,9569.000000
977.311178,1.341250,220789.000000,10063.000000
981.164056,1.343112,229670.000000,10423.000000
985.012516,1.341040,238709.000000,10885.000000
988.856560,1.332139,247015.000000,11497.000000
992.696186,1.338791,254995.000000,11688.000000
997.808817,1.327163,264443.000000,12450.000000
1001.638136,1.318072,271279.000000,13042.000000
1005.463039,1.315326,277527.000000,13427.000000
1009.283525,1.310063,282638.000000,13841.000000
1013.099593,1.305758,286846.000000,14187.000000
1016.911245,1.296917,290773.000000,14677.000000
1020.718479,1.299063,294344.000000,14784.000000
1024.521297,1.293648,296615.000000,15085.000000
1028.319697,1.289739,298225.000000,15304.000000
1032.113680,1.285038,299236.000000,15523.000000
1035.903247,1.280211,300008.000000,15737.000000
1039.688396,1.275477,299754.000000,15896.000000
1044.728390,1.272299,299178.000000,15982.000000
1048.503233,1.273042,298603.000000,15924.000000
1052.273658,1.272108,298841.000000,15971.000000
1056.039667,1.268015,298985.000000,16130.000000
1059.801258,1.269031,298645.000000,16074.000000
1063.558432,1.268342,299136.000000,16126.000000
1067.311190,1.267705,299179.000000,16152.000000
1071.059530,1.265955,299581.000000,16239.000000
1074.803453,1.270917,300243.000000,16090.000000
1078.542959,1.273184,301102.000000,16052.000000
1082.278048,1.273274,302928.000000,16146.000000
1087.251296,1.281204,304860.000000,15955.000000
1090.976078,1.280188,305940.000000,16049.000000
1094.696443,1.286502,308331.000000,15941.000000
1098.412392,1.293476,310748.000000,15810.000000
1102.123923,1.296116,312998.000000,15828.000000
1105.831037,1.304904,315098.000000,15615.000000
1109.533734,1.309503,317331.000000,15560.000000
1113.232014,1.311233,320031.000000,15630.000000
1116.925877,1.319549,322065.000000,15431.000000
1120.615323,1.326400,324387.000000,15299.000000
1124.300352,1.336554,326504.000000,15043.000000
1127.980964,1.343927,328628.000000,14886.000000
1132.881575,1.362989,331748.000000,14382.000000
1136.551880,1.382377,334038.000000,13849.000000
1140.217768,1.404878,336305.000000,13239.000000
1143.879240,1.421493,338467.000000,12824.000000
1147.536294,1.438076,341029.000000,12437.000000
1151.188931,1.458754,343568.000000,11947.000000
1154.837150,1.470783,346388.000000,11716.000000
1158.480953,1.482011,348724.000000,11494.000000
1162.120339,1.490725,351242.000000,11347.000000
1165.755308,1.490802,353874.000000,11430.000000
1169.385859,1.498471,356649.000000,11318.000000
1173.011994,1.503195,359562.000000,11287.000000
1177.839969,1.506827,363963.000000,11330.000000
1181.455797,1.511953,367114.000000,11294.000000
1185.067208,1.509175,371459.000000,11501.000000
1188.674202,1.514141,376057.000000,11511.000000
1192.276779,1.515103,381213.000000,11643.000000
