Method:,Hadamard 1,,
1276.248470,1.105294,545875.000000,42835.000000
1279.742092,1.106773,555063.000000,43408.000000
1283.231297,1.105934,564343.000000,44219.000000
1286.716086,1.106636,572146.000000,44758.000000
1290.196457,1.109979,579645.000000,44997.000000
1293.672411,1.111821,587401.000000,45406.000000
1297.143948,1.115570,594698.000000,45575.000000
1300.611068,1.119429,600598.000000,45620.000000
1305.227024,1.126527,608153.000000,45445.000000
1308.683837,1.132799,613606.000000,45195.000000
1312.136234,1.140575,618333.000000,44735.000000
1315.584213,1.148881,622186.000000,44161.000000
1319.027775,1.156240,626212.000000,43700.000000
1322.466920,1.165702,629123.000000,42957.000000
1325.901648,1.174985,632257.000000,42258.000000
1329.331960,1.183648,634373.000000,41562.000000
1332.757853,1.192658,637449.000000,40906.000000
1336.179330,1.203041,638859.000000,40028.000000
1339.596390,1.213011,639307.000000,39147.000000
1343.009033,1.222103,639741.000000,38362.000000
1347.552352,1.234021,639954.000000,37336.000000
1350.954689,1.240472,639197.000000,36742.000000
1354.352608,1.248554,637095.000000,35946.000000
1357.746110,1.256529,635707.000000,35215.000000
1361.135195,1.264372,635123.000000,34553.000000
1364.519863,1.273100,634326.000000,33823.000000
1367.900114,1.280724,633706.000000,33202.000000
1371.275948,1.294436,632818.000000,32125.000000
1374.647365,1.309638,631840.000000,30972.000000
1378.014364,1.327671,630473.000000,29648.000000
1381.376947,1.348679,628531.000000,28161.000000
1384.735112,1.375619,626532.000000,26383.000000
1389.205796,1.413367,624624.000000,24113.000000
1392.553655,1.443331,623113.000000,22451.000000
1395.897097,1.472435,620419.000000,20905.000000
1399.236121,1.492541,617552.000000,19867.000000
1402.570729,1.516401,614762.000000,18720.000000
1405.900920,1.538201,612223.000000,17730.000000
1409.226694,1.550367,609090.000000,17152.000000
1412.548050,1.565417,606267.000000,16491.000000
1415.864990,1.572066,604085.000000,16182.000000
1419.177512,1.583020,601598.000000,15714.000000
1422.485618,1.590670,599041.000000,15374.000000
1425.789306,1.596180,597337.000000,15137.000000
1430.187353,1.604922,596156.000000,14806.000000
1433.480735,1.610267,594897.000000,14594.000000
1436.769700,1.609342,593265.000000,14585.000000
1440.054247,1.612128,592538.000000,14474.000000
1443.334378,1.616794,592442.000000,14317.000000
1446.610092,1.617203,591634.000000,14284.000000
1449.881388,1.624904,590624.000000,14009.000000
1453.148268,1.619847,589538.000000,14147.000000
1456.410730,1.623588,588501.000000,14001.000000
1459.668775,1.620248,587287.000000,14080.000000
1462.922403,1.623890,585671.000000,13924.000000
1467.253703,1.621034,582794.000000,13947.000000
1470.497025,1.620214,580610.000000,13921.000000
1473.735930,1.618345,577909.000000,13916.000000
1476.970417,1.617394,575029.000000,13877.000000
1480.200488,1.615222,572573.000000,13887.000000
1483.426141,1.609971,569317.000000,13976.000000
1486.647377,1.606687,566200.000000,14005.000000
1489.864197,1.607416,563548.000000,13916.000000
1493.076599,1.604914,560672.000000,13925.000000
1496.284584,1.600957,557463.000000,13972.000000
1499.488152,1.595792,554342.000000,14060.000000
1502.687303,1.590206,551461.000000,14168.000000
1506.945967,1.586612,547148.000000,14174.000000
1510.134811,1.583559,543660.000000,14183.000000
1513.319239,1.578964,539758.000000,14231.000000
1516.499249,1.573765,535471.000000,14288.000000
1519.674842,1.569676,532013.000000,14330.000000
1522.846019,1.566866,528361.000000,14324.000000
1526.012778,1.560720,524573.000000,14424.000000
1529.175120,1.555312,520416.000000,14489.000000
1532.333045,1.554659,516298.000000,14396.000000
1535.486553,1.548738,511961.000000,14471.000000
1538.635644,1.545276,507264.000000,14453.000000
1541.780317,1.544762,502598.000000,14337.000000
1545.966345,1.532471,495525.000000,14541.000000
1549.100712,1.528091,490417.000000,14537.000000
1552.230662,1.524546,485561.000000,14511.000000
1555.356195,1.521284,480300.000000,14462.000000
1558.477312,1.515102,475181.000000,14513.000000
1561.594011,1.515413,469394.000000,14326.000000
1564.706292,1.510567,463084.000000,14292.000000
1567.814157,1.502905,456769.000000,14348.000000
1570.917605,1.503088,449763.000000,14122.000000
1574.016636,1.499377,442305.000000,14007.000000
1577.111250,1.498141,435601.000000,13834.000000
1580.201446,1.494715,429304.000000,13742.000000
1584.314837,1.491494,419868.000000,13540.000000
1587.394727,1.488685,412909.000000,13402.000000
1590.470200,1.487275,405705.000000,13211.000000
1593.541256,1.483958,398199.000000,13066.000000
1596.607895,1.481316,391483.000000,12924.000000
1599.670117,1.479975,384206.000000,12723.000000
1602.727922,1.476894,376903.000000,12570.000000
1605.781309,1.473625,369166.000000,12405.000000
1608.830280,1.471179,361766.000000,12225.000000
1611.874833,1.469991,354492.000000,12012.000000
1614.914970,1.465784,346895.000000,11869.000000
1618.961614,1.468862,336764.000000,11441.000000
1621.991444,1.460943,328280.000000,11358.000000
1625.016857,1.458118,320983.000000,11178.000000
1628.037853,1.456190,313615.000000,10970.000000
1631.054431,1.462340,305822.000000,10547.000000
1634.066593,1.456841,298052.000000,10410.000000
1637.074338,1.455917,289847.000000,10145.000000
1640.077665,1.449961,282546.000000,10026.000000
1643.076576,1.456188,275048.000000,9621.000000
1646.071069,1.446794,267456.000000,9560.000000
1649.061145,1.449120,259413.000000,9223.000000
1652.046804,1.451894,251508.000000,8885.000000
1656.020812,1.444738,240659.000000,8643.000000
1658.996165,1.447021,231683.000000,8277.000000
1661.967101,1.439486,221811.000000,8063.000000
1664.933619,1.434358,211187.000000,7768.000000
1667.895721,1.426903,198159.000000,7415.000000
1670.853405,1.415520,183583.000000,7052.000000
1673.806673,1.414832,166424.000000,6403.000000
1676.755523,1.390255,147885.000000,6021.000000
1679.699956,1.375948,128928.000000,5425.000000
1682.639972,1.366961,110621.000000,4752.000000
1685.575571,1.369577,94076.000000,4017.000000
1688.506753,1.363573,79942.000000,3461.000000
1692.408125,1.379298,64161.000000,2679.000000
1695.329001,1.382874,54477.000000,2256.000000
1698.245459,1.391051,46654.000000,1896.000000
1701.157501,1.367518,40021.000000,1717.000000
