Method:,Hadamard 1,,
Host Date-Time:,21/9/17 @ 16:6:41,,
Header Version:,1,,
System Temp (C):,35.89,,
Detector Temp (C):,32.02,,
Humidity (%):,15.54,,
Lamp PD:,3784,,
Shift Vector Coefficients:,-4.94391,0.050722,-0.00012551,,
Pixel to Wavelength Coefficients:,1825.37,-0.904915,-0.000245393,,
Serial Number:,5490013,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,  2.704,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.954013,0.912287,49060.000000,6004.000000
905.892287,0.922934,55034.000000,6572.000000
909.826144,0.927031,60670.000000,7177.000000
913.755584,0.929367,66564.000000,7832.000000
917.680607,0.932688,73798.000000,8617.000000
921.601213,0.933955,82680.000000,9626.000000
925.517402,0.943577,93358.000000,10631.000000
929.429174,0.948157,105370.000000,11873.000000
933.336529,0.953764,117914.000000,13116.000000
937.239466,0.954988,129489.000000,14363.000000
941.137987,0.956274,140109.000000,15495.000000
945.032090,0.958669,149394.000000,16431.000000
950.217358,0.964913,160809.000000,17434.000000
954.101155,0.970145,168910.000000,18093.000000
957.980534,0.974930,177304.000000,18784.000000
961.855497,0.980546,185081.000000,19356.000000
965.726043,0.984878,193890.000000,20076.000000
969.592172,0.986441,202944.000000,20938.000000
973.453884,0.984488,211673.000000,21937.000000
977.311178,0.987168,220789.000000,22741.000000
981.164056,0.983780,229670.000000,23841.000000
985.012516,0.986404,238709.000000,24630.000000
988.856560,0.984229,247015.000000,25615.000000
992.696186,0.981813,254995.000000,26590.000000
997.808817,0.976183,264443.000000,27935.000000
1001.638136,0.972278,271279.000000,28916.000000
1005.463039,0.969731,277527.000000,29756.000000
1009.283525,0.966561,282638.000000,30526.000000
1013.099593,0.964079,286846.000000,31158.000000
1016.911245,0.960977,290773.000000,31811.000000
1020.718479,0.960784,294344.000000,32216.000000
1024.521297,0.957075,296615.000000,32743.000000
1028.319697,0.953602,298225.000000,33185.000000
1032.113680,0.951864,299236.000000,33431.000000
1035.903247,0.947266,300008.000000,33874.000000
1039.688396,0.944890,299754.000000,34031.000000
1044.728390,0.944080,299178.000000,34029.000000
1048.503233,0.942964,298603.000000,34051.000000
1052.273658,0.940336,298841.000000,34285.000000
1056.039667,0.938397,298985.000000,34455.000000
1059.801258,0.938938,298645.000000,34373.000000
1063.558432,0.939260,299136.000000,34404.000000
1067.311190,0.937533,299179.000000,34546.000000
1071.059530,0.936448,299581.000000,34679.000000
1074.803453,0.937444,300243.000000,34676.000000
1078.542959,0.937934,301102.000000,34736.000000
1082.278048,0.939274,302928.000000,34839.000000
1087.251296,0.941263,304860.000000,34901.000000
1090.976078,0.940700,305940.000000,35070.000000
1094.696443,0.943933,308331.000000,35082.000000
1098.412392,0.946446,310748.000000,35153.000000
1102.123923,0.948444,312998.000000,35245.000000
1105.831037,0.951089,315098.000000,35266.000000
1109.533734,0.953013,317331.000000,35359.000000
1113.232014,0.957061,320031.000000,35329.000000
1116.925877,0.959714,322065.000000,35337.000000
1120.615323,0.964953,324387.000000,35165.000000
1124.300352,0.970131,326504.000000,34975.000000
1127.980964,0.976513,328628.000000,34689.000000
1132.881575,0.990942,331748.000000,33874.000000
1136.551880,1.005651,334038.000000,32972.000000
1140.217768,1.022235,336305.000000,31952.000000
1143.879240,1.039586,338467.000000,30898.000000
1147.536294,1.055641,341029.000000,30002.000000
1151.188931,1.071344,343568.000000,29152.000000
1154.837150,1.084901,346388.000000,28488.000000
1158.480953,1.095417,348724.000000,27994.000000
1162.120339,1.104398,351242.000000,27619.000000
1165.755308,1.112559,353874.000000,27308.000000
1169.385859,1.119416,356649.000000,27091.000000
1173.011994,1.123350,359562.000000,27066.000000
1177.839969,1.130740,363963.000000,26935.000000
1181.455797,1.134581,367114.000000,26929.000000
1185.067208,1.140159,371459.000000,26900.000000
1188.674202,1.146520,376057.000000,26837.000000
1192.276779,1.151448,381213.000000,26898.000000
1195.874938,1.155780,386738.000000,27017.000000
1199.468681,1.159085,391755.000000,27160.000000
1203.058007,1.164786,397005.000000,27165.000000
1206.642915,1.166881,402743.000000,27425.000000
1210.223407,1.167406,408846.000000,27807.000000
1213.799481,1.168703,414567.000000,28112.000000
1217.371139,1.162710,420274.000000,28895.000000
1222.126477,1.155210,429462.000000,30041.000000
1225.687828,1.147726,436148.000000,31039.000000
1229.244762,1.141339,442616.000000,31966.000000
1232.797279,1.136102,449528.000000,32859.000000
1236.345378,1.130079,456181.000000,33811.000000
1239.889061,1.124957,463539.000000,34764.000000
1243.428326,1.120318,470079.000000,35633.000000
1246.963175,1.117363,477832.000000,36468.000000
1250.493606,1.114279,486017.000000,37357.000000
1254.019620,1.110785,493169.000000,38213.000000
1257.541217,1.109195,500985.000000,38961.000000
1262.229809,1.108057,512345.000000,39949.000000
1265.741100,1.105032,521283.000000,40930.000000
1269.247974,1.105471,529269.000000,41515.000000
1272.750430,1.105833,537340.000000,42113.000000
