Method:,Hadamard 1,,
Host Date-Time:,21/9/17 @ 15:47:35,,
Header Version:,1,,
System Temp (C):,34.93,,
Detector Temp (C):,31.47,,
Humidity (%):,16.21,,
Lamp PD:,3785,,
Shift Vector Coefficients:,-4.94391,0.050722,-0.00012551,,
Pixel to Wavelength Coefficients:,1825.37,-0.904915,-0.000245393,,
Serial Number:,5490013,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,  2.699,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.954013,1.052838,49060.000000,4344.000000
905.892287,1.053370,55034.000000,4867.000000
909.826144,1.060176,60670.000000,5282.000000
913.755584,1.068127,66564.000000,5690.000000
917.680607,1.073696,73798.000000,6228.000000
921.601213,1.079938,82680.000000,6878.000000
925.517402,1.083266,93358.000000,7707.000000
929.429174,1.086807,105370.000000,8628.000000
933.336529,1.087624,117914.000000,9637.000000
937.239466,1.080865,129489.000000,10749.000000
941.137987,1.071759,140109.000000,11877.000000
945.032090,1.061561,149394.000000,12965.000000
950.217358,1.048069,160809.000000,14396.000000
954.101155,1.047472,168910.000000,15142.000000
957.980534,1.041192,177304.000000,16126.000000
961.855497,1.040272,185081.000000,16869.000000
965.726043,1.037721,193890.000000,17776.000000
969.592172,1.036278,202944.000000,18668.000000
973.453884,1.031685,211673.000000,19678.000000
977.311178,1.030068,220789.000000,20602.000000
981.164056,1.026490,229670.000000,21608.000000
985.012516,1.027446,238709.000000,22409.000000
988.856560,1.022636,247015.000000,23447.000000
992.696186,1.020122,254995.000000,24345.000000
997.808817,1.016030,264443.000000,25486.000000
1001.638136,1.013741,271279.000000,26283.000000
1005.463039,1.013634,277527.000000,26895.000000
1009.283525,1.011377,282638.000000,27533.000000
1013.099593,1.011267,286846.000000,27950.000000
1016.911245,1.010465,290773.000000,28385.000000
1020.718479,1.013843,294344.000000,28511.000000
1024.521297,1.012123,296615.000000,28845.000000
1028.319697,1.010174,298225.000000,29132.000000
1032.113680,1.011182,299236.000000,29163.000000
1035.903247,1.009214,300008.000000,29371.000000
1039.688396,1.009853,299754.000000,29303.000000
1044.728390,1.010294,299178.000000,29217.000000
1048.503233,1.010039,298603.000000,29178.000000
1052.273658,1.006842,298841.000000,29417.000000
1056.039667,1.002922,298985.000000,29698.000000
1059.801258,1.002048,298645.000000,29724.000000
1063.558432,1.000401,299136.000000,29886.000000
1067.311190,0.999679,299179.000000,29940.000000
1071.059530,0.996737,299581.000000,30184.000000
1074.803453,0.997768,300243.000000,30179.000000
1078.542959,0.996727,301102.000000,30338.000000
1082.278048,0.996812,302928.000000,30516.000000
1087.251296,0.997401,304860.000000,30669.000000
1090.976078,0.995720,305940.000000,30897.000000
1094.696443,0.998567,308331.000000,30935.000000
1098.412392,0.998351,310748.000000,31193.000000
1102.123923,0.999942,312998.000000,31304.000000
1105.831037,1.003234,315098.000000,31276.000000
1109.533734,1.004915,317331.000000,31376.000000
1113.232014,1.007337,320031.000000,31467.000000
1116.925877,1.010558,322065.000000,31433.000000
1120.615323,1.014272,324387.000000,31390.000000
1124.300352,1.018427,326504.000000,31294.000000
1127.980964,1.025105,328628.000000,31017.000000
1132.881575,1.037421,331748.000000,30436.000000
1136.551880,1.049521,334038.000000,29804.000000
1140.217768,1.066452,336305.000000,28859.000000
1143.879240,1.082746,338467.000000,27975.000000
1147.536294,1.101717,341029.000000,26982.000000
1151.188931,1.121892,343568.000000,25949.000000
1154.837150,1.145812,346388.000000,24760.000000
1158.480953,1.164029,348724.000000,23903.000000
1162.120339,1.185790,351242.000000,22899.000000
