Method:,Hadamard 1,,
1165.755308,1.205519,353874.000000,22046.000000
1169.385859,1.218794,356649.000000,21550.000000
1173.011994,1.230114,359562.000000,21167.000000
1177.839969,1.246916,363963.000000,20613.000000
1181.455797,1.261648,367114.000000,20098.000000
1185.067208,1.278853,371459.000000,19546.000000
1188.674202,1.295838,376057.000000,19029.000000
1192.276779,1.314513,381213.000000,18478.000000
1195.874938,1.328373,386738.000000,18157.000000
1199.468681,1.344747,391755.000000,17712.000000
1203.058007,1.360649,397005.000000,17304.000000
1206.642915,1.377758,402743.000000,16876.000000
1210.223407,1.386613,408846.000000,16786.000000
1213.799481,1.391975,414567.000000,16812.000000
1217.371139,1.379453,420274.000000,17542.000000
1222.126477,1.347030,429462.000000,19315.000000
1225.687828,1.314714,436148.000000,21131.000000
1229.244762,1.283130,442616.000000,23062.000000
1232.797279,1.251649,449528.000000,25183.000000
1236.345378,1.228433,456181.000000,26959.000000
1239.889061,1.206513,463539.000000,28812.000000
1243.428326,1.190771,470079.000000,30297.000000
1246.963175,1.175525,477832.000000,31897.000000
1250.493606,1.164951,486017.000000,33243.000000
1254.019620,1.154686,493169.000000,34539.000000
1257.541217,1.146646,500985.000000,35742.000000
1262.229809,1.138739,512345.000000,37224.000000
1265.741100,1.132935,521283.000000,38383.000000
1269.247974,1.129063,529269.000000,39320.000000
1272.750430,1.126088,537340.000000,40194.000000
1276.248470,1.121732,545875.000000,41244.000000
1279.742092,1.119576,555063.000000,42147.000000
1283.231297,1.118459,564343.000000,42962.000000
1286.716086,1.115706,572146.000000,43833.000000
1290.196457,1.115212,579645.000000,44458.000000
1293.672411,1.114874,587401.000000,45088.000000
1297.143948,1.115465,594698.000000,45586.000000
1300.611068,1.116563,600598.000000,45922.000000
1305.227024,1.118554,608153.000000,46287.000000
1308.683837,1.120129,613606.000000,46533.000000
1312.136234,1.123648,618333.000000,46513.000000
1315.584213,1.125749,622186.000000,46577.000000
1319.027775,1.129586,626212.000000,46466.000000
1322.466920,1.134884,629123.000000,46116.000000
1325.901648,1.140028,632257.000000,45800.000000
1329.331960,1.145241,634373.000000,45405.000000
1332.757853,1.151165,637449.000000,45007.000000
1336.179330,1.156723,638859.000000,44533.000000
1339.596390,1.163334,639307.000000,43891.000000
1343.009033,1.172314,639741.000000,43022.000000
1347.552352,1.181753,639954.000000,42111.000000
1350.954689,1.191413,639197.000000,41136.000000
1354.352608,1.203994,637095.000000,39830.000000
1357.746110,1.215445,635707.000000,38709.000000
1361.135195,1.228583,635123.000000,37521.000000
1364.519863,1.240424,634326.000000,36466.000000
1367.900114,1.254963,633706.000000,35231.000000
1371.275948,1.274345,632818.000000,33646.000000
1374.647365,1.294264,631840.000000,32088.000000
1378.014364,1.318339,630473.000000,30292.000000
1381.376947,1.346863,628531.000000,28279.000000
1384.735112,1.375784,626532.000000,26373.000000
1389.205796,1.417985,624624.000000,23858.000000
1392.553655,1.448018,623113.000000,22210.000000
1395.897097,1.472871,620419.000000,20884.000000
1399.236121,1.492323,617552.000000,19877.000000
1402.570729,1.508151,614762.000000,19079.000000
1405.900920,1.526266,612223.000000,18224.000000
1409.226694,1.547792,609090.000000,17254.000000
1412.548050,1.568138,606267.000000,16388.000000
1415.864990,1.579128,604085.000000,15921.000000
1419.177512,1.592435,601598.000000,15377.000000
1422.485618,1.601423,599041.000000,14998.000000
1425.789306,1.608873,597337.000000,14701.000000
1430.187353,1.619569,596156.000000,14315.000000
1433.480735,1.625747,594897.000000,14083.000000
1436.769700,1.629734,593265.000000,13916.000000
1440.054247,1.631831,592538.000000,13832.000000
1443.334378,1.634438,592442.000000,13747.000000
1446.610092,1.638418,591634.000000,13603.000000
1449.881388,1.635511,590624.000000,13671.000000
1453.148268,1.634235,589538.000000,13686.000000
1456.410730,1.638289,588501.000000,13535.000000
1459.668775,1.638935,587287.000000,13487.000000
1462.922403,1.637642,585671.000000,13490.000000
1467.253703,1.632104,582794.000000,13596.000000
1470.497025,1.625993,580610.000000,13737.000000
1473.735930,1.621006,577909.000000,13831.000000
1476.970417,1.612787,575029.000000,14025.000000
1480.200488,1.609876,572573.000000,14059.000000
1483.426141,1.603158,569317.000000,14197.000000
1486.647377,1.594215,566200.000000,14413.000000
1489.864197,1.588307,563548.000000,14542.000000
1493.076599,1.583316,560672.000000,14635.000000
1496.284584,1.575075,557463.000000,14830.000000
1499.488152,1.564169,554342.000000,15122.000000
1502.687303,1.555152,551461.000000,15359.000000
1506.945967,1.543924,547148.000000,15638.000000
1510.134811,1.540591,543660.000000,15658.000000
1513.319239,1.528622,539758.000000,15980.000000
1516.499249,1.521371,535471.000000,16120.000000
1519.674842,1.513069,532013.000000,16325.000000
1522.846019,1.505289,528361.000000,16506.000000
1526.012778,1.497714,524573.000000,16676.000000
1529.175120,1.489545,520416.000000,16858.000000
1532.333045,1.484526,516298.000000,16919.000000
1535.486553,1.481684,511961.000000,16887.000000
1538.635644,1.472136,507264.000000,17104.000000
1541.780317,1.465667,502598.000000,17201.000000
1545.966345,1.450887,495525.000000,17546.000000
1549.100712,1.441245,490417.000000,17755.000000
1552.230662,1.437535,485561.000000,17730.000000
1555.356195,1.430166,480300.000000,17838.000000
1558.477312,1.425927,475181.000000,17821.000000
1561.594011,1.419656,469394.000000,17860.000000
1564.706292,1.408798,463084.000000,18066.000000
1567.814157,1.403845,456769.000000,18024.000000
1570.917605,1.398532,449763.000000,17966.000000
1574.016636,1.392360,442305.000000,17921.000000
1577.111250,1.388791,435601.000000,17795.000000
1580.201446,1.379524,429304.000000,17916.000000
1584.314837,1.377995,419868.000000,17584.000000
1587.394727,1.374358,412909.000000,17438.000000
1590.470200,1.368761,405705.000000,17356.000000
1593.541256,1.362657,398199.000000,17276.000000
1596.607895,1.359945,391483.000000,17091.000000
1599.670117,1.357784,384206.000000,16857.000000
1602.727922,1.357038,376903.000000,16565.000000
1605.781309,1.352669,369166.000000,16389.000000
1608.830280,1.348779,361766.000000,16205.000000
1611.874833,1.348127,354492.000000,15903.000000
1614.914970,1.343083,346895.000000,15744.000000
1618.961614,1.341246,336764.000000,15349.000000
1621.991444,1.338218,328280.000000,15067.000000
1625.016857,1.338043,320983.000000,14738.000000
1628.037853,1.338155,313615.000000,14396.000000
1631.054431,1.339155,305822.000000,14006.000000
1634.066593,1.333187,298052.000000,13839.000000
1637.074338,1.333285,289847.000000,13455.000000
1640.077665,1.333619,282546.000000,13106.000000
1643.076576,1.338900,275048.000000,12604.000000
1646.071069,1.332956,267456.000000,12425.000000
1649.061145,1.330453,259413.000000,12121.000000
1652.046804,1.335346,251508.000000,11620.000000
1656.020812,1.334010,240659.000000,11153.000000
1658.996165,1.346985,231683.000000,10421.000000
1661.967101,1.346027,221811.000000,9999.000000
1664.933619,1.352511,211187.000000,9379.000000
1667.895721,1.346990,198159.000000,8913.000000
1670.853405,1.352196,183583.000000,8159.000000
1673.806673,1.345923,166424.000000,7504.000000
1676.755523,1.348476,147885.000000,6629.000000
1679.699956,1.343340,128928.000000,5848.000000
1682.639972,1.352845,110621.000000,4909.000000
1685.575571,1.368821,94076.000000,4024.000000
1688.506753,1.388892,79942.000000,3265.000000
1692.408125,1.420772,64161.000000,2435.000000
1695.329001,1.461363,54477.000000,1883.000000
1698.245459,1.448258,46654.000000,1662.000000
1701.157501,1.500197,40021.000000,1265.000000
