Method:,Hadamard 1,,
Host Date-Time:,21/9/17 @ 15:48:32,,
Header Version:,1,,
System Temp (C):,35.12,,
Detector Temp (C):,31.52,,
Humidity (%):,15.91,,
Lamp PD:,3784,,
Shift Vector Coefficients:,-4.94391,0.050722,-0.00012551,,
Pixel to Wavelength Coefficients:,1825.37,-0.904915,-0.000245393,,
Serial Number:,5490013,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,  2.700,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.954013,1.294354,49060.000000,2491.000000
905.892287,1.301772,55034.000000,2747.000000
909.826144,1.294282,60670.000000,3081.000000
913.755584,1.306572,66564.000000,3286.000000
917.680607,1.310056,73798.000000,3614.000000
921.601213,1.309088,82680.000000,4058.000000
925.517402,1.328677,93358.000000,4380.000000
929.429174,1.329782,105370.000000,4931.000000
933.336529,1.337246,117914.000000,5424.000000
937.239466,1.340425,129489.000000,5913.000000
941.137987,1.342872,140109.000000,6362.000000
945.032090,1.352885,149394.000000,6629.000000
950.217358,1.363514,160809.000000,6963.000000
954.101155,1.373532,168910.000000,7147.000000
957.980534,1.375805,177304.000000,7463.000000
961.855497,1.389185,185081.000000,7554.000000
965.726043,1.394293,193890.000000,7821.000000
969.592172,1.399911,202944.000000,8081.000000
973.453884,1.394564,211673.000000,8533.000000
977.311178,1.393856,220789.000000,8915.000000
981.164056,1.400633,229670.000000,9130.000000
985.012516,1.400099,238709.000000,9501.000000
988.856560,1.395119,247015.000000,9945.000000
992.696186,1.389498,254995.000000,10400.000000
997.808817,1.381255,264443.000000,10992.000000
1001.638136,1.379531,271279.000000,11321.000000
1005.463039,1.373933,277527.000000,11732.000000
1009.283525,1.370496,282638.000000,12043.000000
1013.099593,1.364297,286846.000000,12398.000000
1016.911245,1.358078,290773.000000,12749.000000
1020.718479,1.355380,294344.000000,12986.000000
1024.521297,1.349617,296615.000000,13261.000000
1028.319697,1.342733,298225.000000,13546.000000
1032.113680,1.339737,299236.000000,13686.000000
1035.903247,1.334775,300008.000000,13879.000000
1039.688396,1.330668,299754.000000,13999.000000
1044.728390,1.325726,299178.000000,14132.000000
1048.503233,1.321096,298603.000000,14256.000000
1052.273658,1.319346,298841.000000,14325.000000
1056.039667,1.317166,298985.000000,14404.000000
1059.801258,1.314507,298645.000000,14476.000000
1063.558432,1.313962,299136.000000,14518.000000
1067.311190,1.310509,299179.000000,14636.000000
1071.059530,1.312876,299581.000000,14576.000000
1074.803453,1.310244,300243.000000,14697.000000
1078.542959,1.313855,301102.000000,14617.000000
1082.278048,1.315383,302928.000000,14654.000000
1087.251296,1.317020,304860.000000,14692.000000
1090.976078,1.320778,305940.000000,14617.000000
1094.696443,1.323120,308331.000000,14652.000000
1098.412392,1.329426,310748.000000,14554.000000
1102.123923,1.331516,312998.000000,14589.000000
1105.831037,1.341170,315098.000000,14364.000000
1109.533734,1.340115,317331.000000,14501.000000
