Method:,Hadamard 1,,
Host Date-Time:,21/9/17 @ 15:47:12,,
Header Version:,1,,
System Temp (C):,34.76,,
Detector Temp (C):,31.47,,
Humidity (%):,16.2,,
Lamp PD:,3784,,
Shift Vector Coefficients:,-4.94391,0.050722,-0.00012551,,
Pixel to Wavelength Coefficients:,1825.37,-0.904915,-0.000245393,,
Serial Number:,5490013,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,  2.706,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.954013,1.409694,49060.000000,1910.000000
905.892287,1.410420,55034.000000,2139.000000
909.826144,1.424278,60670.000000,2284.000000
913.755584,1.427389,66564.000000,2488.000000
917.680607,1.462698,73798.000000,2543.000000
921.601213,1.466382,82680.000000,2825.000000
925.517402,1.455737,93358.000000,3269.000000
929.429174,1.464368,105370.000000,3617.000000
933.336529,1.472228,117914.000000,3975.000000
937.239466,1.481703,129489.000000,4271.000000
941.137987,1.479574,140109.000000,4644.000000
945.032090,1.486002,149394.000000,4879.000000
950.217358,1.493576,160809.000000,5161.000000
954.101155,1.492376,168910.000000,5436.000000
957.980534,1.509067,177304.000000,5491.000000
961.855497,1.520105,185081.000000,5588.000000
965.726043,1.520994,193890.000000,5842.000000
969.592172,1.522046,202944.000000,6100.000000
973.453884,1.531247,211673.000000,6229.000000
977.311178,1.525752,220789.000000,6580.000000
981.164056,1.522129,229670.000000,6902.000000
985.012516,1.526549,238709.000000,7101.000000
988.856560,1.526850,247015.000000,7343.000000
992.696186,1.525432,254995.000000,7605.000000
997.808817,1.514921,264443.000000,8080.000000
1001.638136,1.515438,271279.000000,8279.000000
1005.463039,1.513019,277527.000000,8517.000000
1009.283525,1.503650,282638.000000,8863.000000
1013.099593,1.502202,286846.000000,9025.000000
1016.911245,1.491861,290773.000000,9369.000000
1020.718479,1.491177,294344.000000,9499.000000
1024.521297,1.490465,296615.000000,9588.000000
1028.319697,1.482388,298225.000000,9821.000000
1032.113680,1.473891,299236.000000,10049.000000
1035.903247,1.472597,300008.000000,10105.000000
1039.688396,1.466889,299754.000000,10230.000000
1044.728390,1.458521,299178.000000,10409.000000
1048.503233,1.460322,298603.000000,10346.000000
1052.273658,1.451530,298841.000000,10566.000000
1056.039667,1.453923,298985.000000,10513.000000
1059.801258,1.445447,298645.000000,10708.000000
1063.558432,1.441963,299136.000000,10812.000000
1067.311190,1.441062,299179.000000,10836.000000
1071.059530,1.435517,299581.000000,10990.000000
1074.803453,1.435055,300243.000000,11026.000000
1078.542959,1.433430,301102.000000,11099.000000
1082.278048,1.436760,302928.000000,11081.000000
1087.251296,1.437644,304860.000000,11129.000000
1090.976078,1.438790,305940.000000,11139.000000
1094.696443,1.443030,308331.000000,11117.000000
1098.412392,1.442648,310748.000000,11214.000000
1102.123923,1.451865,312998.000000,11058.000000
1105.831037,1.453240,315098.000000,11097.000000
1109.533734,1.458583,317331.000000,11039.000000
1113.232014,1.461830,320031.000000,11050.000000
1116.925877,1.468054,322065.000000,10962.000000
1120.615323,1.478646,324387.000000,10775.000000
1124.300352,1.484789,326504.000000,10693.000000
1127.980964,1.498545,328628.000000,10427.000000
1132.881575,1.516272,331748.000000,10105.000000
1136.551880,1.543702,334038.000000,9552.000000
1140.217768,1.567501,336305.000000,9104.000000
1143.879240,1.592550,338467.000000,8649.000000
1147.536294,1.621580,341029.000000,8151.000000
1151.188931,1.640645,343568.000000,7859.000000
1154.837150,1.660926,346388.000000,7562.000000
1158.480953,1.674779,348724.000000,7374.000000
1162.120339,1.690936,351242.000000,7156.000000
1165.755308,1.704247,353874.000000,6992.000000
1169.385859,1.710694,356649.000000,6943.000000
1173.011994,1.713539,359562.000000,6954.000000
1177.839969,1.732011,363963.000000,6746.000000
1181.455797,1.733571,367114.000000,6780.000000
1185.067208,1.741251,371459.000000,6740.000000
1188.674202,1.746336,376057.000000,6744.000000
1192.276779,1.757107,381213.000000,6669.000000
1195.874938,1.753441,386738.000000,6823.000000
1199.468681,1.763839,391755.000000,6748.000000
1203.058007,1.766670,397005.000000,6794.000000
1206.642915,1.763293,402743.000000,6946.000000
1210.223407,1.766462,408846.000000,7000.000000
1213.799481,1.772435,414567.000000,7001.000000
1217.371139,1.769652,420274.000000,7143.000000
1222.126477,1.763869,429462.000000,7397.000000
1225.687828,1.754047,436148.000000,7684.000000
1229.244762,1.743915,442616.000000,7982.000000
1232.797279,1.734045,449528.000000,8293.000000
1236.345378,1.733670,456181.000000,8423.000000
1239.889061,1.733156,463539.000000,8569.000000
1243.428326,1.724296,470079.000000,8869.000000
1246.963175,1.718757,477832.000000,9131.000000
1250.493606,1.718075,486017.000000,9302.000000
1254.019620,1.717380,493169.000000,9454.000000
1257.541217,1.714039,500985.000000,9678.000000
1262.229809,1.710563,512345.000000,9977.000000
1265.741100,1.707750,521283.000000,10217.000000
1269.247974,1.712318,529269.000000,10265.000000
1272.750430,1.705271,537340.000000,10592.000000
1276.248470,1.706089,545875.000000,10740.000000
1279.742092,1.708672,555063.000000,10856.000000
1283.231297,1.710387,564343.000000,10994.000000
1286.716086,1.708832,572146.000000,11186.000000
1290.196457,1.717214,579645.000000,11116.000000
1293.672411,1.717126,587401.000000,11267.000000
1297.143948,1.723028,594698.000000,11253.000000
1300.611068,1.726699,600598.000000,11269.000000
1305.227024,1.734640,608153.000000,11204.000000
1308.683837,1.746655,613606.000000,10996.000000
1312.136234,1.754713,618333.000000,10877.000000
1315.584213,1.766041,622186.000000,10663.000000
1319.027775,1.771907,626212.000000,10588.000000
