Method:,Hadamard 1,,
Host Date-Time:,21/9/17 @ 15:46:54,,
Header Version:,1,,
System Temp (C):,34.62,,
Detector Temp (C):,31.39,,
Humidity (%):,16.1,,
Lamp PD:,3785,,
Shift Vector Coefficients:,-4.94391,0.050722,-0.00012551,,
Pixel to Wavelength Coefficients:,1825.37,-0.904915,-0.000245393,,
Serial Number:,5490013,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,  2.692,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.954013,1.191866,49060.000000,3154.000000
905.892287,1.185779,55034.000000,3588.000000
909.826144,1.197062,60670.000000,3854.000000
913.755584,1.216966,66564.000000,4039.000000
917.680607,1.217931,73798.000000,4468.000000
921.601213,1.222006,82680.000000,4959.000000
925.517402,1.230975,93358.000000,5485.000000
929.429174,1.241896,105370.000000,6037.000000
933.336529,1.240144,117914.000000,6783.000000
937.239466,1.228628,129489.000000,7649.000000
941.137987,1.216281,140109.000000,8515.000000
945.032090,1.201390,149394.000000,9396.000000
950.217358,1.186239,160809.000000,10473.000000
954.101155,1.183861,168910.000000,11061.000000
957.980534,1.178902,177304.000000,11744.000000
961.855497,1.172088,185081.000000,12453.000000
965.726043,1.171512,193890.000000,13063.000000
969.592172,1.169516,202944.000000,13736.000000
973.453884,1.167001,211673.000000,14410.000000
977.311178,1.164483,220789.000000,15118.000000
981.164056,1.157718,229670.000000,15973.000000
985.012516,1.157499,238709.000000,16610.000000
988.856560,1.153124,247015.000000,17362.000000
992.696186,1.151814,254995.000000,17977.000000
997.808817,1.148729,264443.000000,18776.000000
1001.638136,1.147342,271279.000000,19323.000000
1005.463039,1.148486,277527.000000,19716.000000
1009.283525,1.146848,282638.000000,20155.000000
1013.099593,1.147636,286846.000000,20418.000000
1016.911245,1.149455,290773.000000,20611.000000
1020.718479,1.151231,294344.000000,20779.000000
1024.521297,1.152525,296615.000000,20877.000000
1028.319697,1.150509,298225.000000,21088.000000
1032.113680,1.151752,299236.000000,21099.000000
1035.903247,1.150469,300008.000000,21216.000000
1039.688396,1.150532,299754.000000,21195.000000
1044.728390,1.149594,299178.000000,21200.000000
1048.503233,1.150503,298603.000000,21115.000000
1052.273658,1.147203,298841.000000,21293.000000
1056.039667,1.144445,298985.000000,21439.000000
1059.801258,1.140038,298645.000000,21633.000000
1063.558432,1.141636,299136.000000,21589.000000
1067.311190,1.138392,299179.000000,21754.000000
1071.059530,1.133874,299581.000000,22011.000000
1074.803453,1.133434,300243.000000,22082.000000
1078.542959,1.134479,301102.000000,22092.000000
1082.278048,1.133346,302928.000000,22284.000000
1087.251296,1.134570,304860.000000,22363.000000
1090.976078,1.132547,305940.000000,22547.000000
1094.696443,1.134371,308331.000000,22628.000000
1098.412392,1.135332,310748.000000,22755.000000
1102.123923,1.136010,312998.000000,22884.000000
1105.831037,1.140701,315098.000000,22790.000000
1109.533734,1.143997,317331.000000,22778.000000
1113.232014,1.147314,320031.000000,22797.000000
1116.925877,1.150905,322065.000000,22753.000000
1120.615323,1.152824,324387.000000,22816.000000
1124.300352,1.160511,326504.000000,22562.000000
1127.980964,1.166980,328628.000000,22373.000000
1132.881575,1.179730,331748.000000,21932.000000
1136.551880,1.195641,334038.000000,21289.000000
1140.217768,1.213478,336305.000000,20571.000000
1143.879240,1.235249,338467.000000,19691.000000
1147.536294,1.253626,341029.000000,19018.000000
1151.188931,1.277423,343568.000000,18138.000000
1154.837150,1.300990,346388.000000,17321.000000
1158.480953,1.323081,348724.000000,16573.000000
1162.120339,1.348602,351242.000000,15740.000000
1165.755308,1.370159,353874.000000,15090.000000
1169.385859,1.386700,356649.000000,14640.000000
1173.011994,1.400073,359562.000000,14312.000000
1177.839969,1.422376,363963.000000,13762.000000
1181.455797,1.432189,367114.000000,13571.000000
1185.067208,1.454234,371459.000000,13052.000000
1188.674202,1.471484,376057.000000,12699.000000
1192.276779,1.493173,381213.000000,12246.000000
1195.874938,1.508489,386738.000000,11993.000000
1199.468681,1.526577,391755.000000,11653.000000
1203.058007,1.547065,397005.000000,11265.000000
1206.642915,1.560802,402743.000000,11072.000000
1210.223407,1.572423,408846.000000,10943.000000
1213.799481,1.578697,414567.000000,10937.000000
1217.371139,1.568766,420274.000000,11344.000000
1222.126477,1.531797,429462.000000,12622.000000
1225.687828,1.499063,436148.000000,13822.000000
1229.244762,1.461534,442616.000000,15293.000000
1232.797279,1.429287,449528.000000,16729.000000
1236.345378,1.401147,456181.000000,18113.000000
1239.889061,1.380237,463539.000000,19313.000000
1243.428326,1.358198,470079.000000,20605.000000
1246.963175,1.342775,477832.000000,21702.000000
1250.493606,1.329441,486017.000000,22762.000000
1254.019620,1.319367,493169.000000,23639.000000
1257.541217,1.309543,500985.000000,24563.000000
1262.229809,1.297758,512345.000000,25811.000000
1265.741100,1.291002,521283.000000,26673.000000
1269.247974,1.286322,529269.000000,27375.000000
1272.750430,1.281188,537340.000000,28123.000000
1276.248470,1.278758,545875.000000,28730.000000
1279.742092,1.273241,555063.000000,29587.000000
1283.231297,1.271896,564343.000000,30175.000000
1286.716086,1.268857,572146.000000,30807.000000
1290.196457,1.267798,579645.000000,31287.000000
1293.672411,1.267588,587401.000000,31721.000000
1297.143948,1.266616,594698.000000,32187.000000
1300.611068,1.267865,600598.000000,32413.000000
1305.227024,1.268099,608153.000000,32803.000000
1308.683837,1.268587,613606.000000,33060.000000
1312.136234,1.272406,618333.000000,33023.000000
1315.584213,1.273201,622186.000000,33168.000000
1319.027775,1.275453,626212.000000,33210.000000
1322.466920,1.279893,629123.000000,33025.000000
1325.901648,1.282972,632257.000000,32955.000000
1329.331960,1.288023,634373.000000,32683.000000
1332.757853,1.292709,637449.000000,32489.000000
1336.179330,1.298657,638859.000000,32118.000000
1339.596390,1.305459,639307.000000,31641.000000
1343.009033,1.311446,639741.000000,31229.000000
1347.552352,1.323761,639954.000000,30366.000000
1350.954689,1.333068,639197.000000,29687.000000
1354.352608,1.346564,637095.000000,28684.000000
1357.746110,1.361688,635707.000000,27642.000000
1361.135195,1.376021,635123.000000,26720.000000
1364.519863,1.388359,634326.000000,25939.000000
1367.900114,1.406229,633706.000000,24869.000000
1371.275948,1.427044,632818.000000,23672.000000
1374.647365,1.449623,631840.000000,22438.000000
1378.014364,1.474931,630473.000000,21122.000000
1381.376947,1.502518,628531.000000,19761.000000
