Method:,Hadamard 1,,
1384.735112,1.529584,626532.000000,18508.000000
1389.205796,1.570827,624624.000000,16780.000000
1392.553655,1.597341,623113.000000,15748.000000
1395.897097,1.618654,620419.000000,14929.000000
1399.236121,1.631498,617552.000000,14427.000000
1402.570729,1.640814,614762.000000,14057.000000
1405.900920,1.654522,612223.000000,13564.000000
1409.226694,1.669937,609090.000000,13024.000000
1412.548050,1.689382,606267.000000,12396.000000
1415.864990,1.700147,604085.000000,12049.000000
1419.177512,1.708641,601598.000000,11767.000000
1422.485618,1.719220,599041.000000,11435.000000
1425.789306,1.724488,597337.000000,11265.000000
1430.187353,1.728046,596156.000000,11151.000000
1433.480735,1.732339,594897.000000,11018.000000
1436.769700,1.732291,593265.000000,10989.000000
1440.054247,1.736487,592538.000000,10870.000000
1443.334378,1.731372,592442.000000,10997.000000
1446.610092,1.736383,591634.000000,10856.000000
1449.881388,1.734124,590624.000000,10894.000000
1453.148268,1.734362,589538.000000,10868.000000
1456.410730,1.732201,588501.000000,10903.000000
1459.668775,1.732621,587287.000000,10870.000000
1462.922403,1.725985,585671.000000,11007.000000
1467.253703,1.726458,582794.000000,10941.000000
1470.497025,1.718288,580610.000000,11107.000000
1473.735930,1.707055,577909.000000,11345.000000
1476.970417,1.706534,575029.000000,11302.000000
1480.200488,1.696680,572573.000000,11512.000000
1483.426141,1.698487,569317.000000,11399.000000
1486.647377,1.687614,566200.000000,11624.000000
1489.864197,1.684195,563548.000000,11661.000000
1493.076599,1.678043,560672.000000,11767.000000
1496.284584,1.663287,557463.000000,12104.000000
1499.488152,1.659488,554342.000000,12142.000000
1502.687303,1.653379,551461.000000,12250.000000
1506.945967,1.641925,547148.000000,12479.000000
1510.134811,1.640612,543660.000000,12437.000000
1513.319239,1.629422,539758.000000,12670.000000
1516.499249,1.621628,535471.000000,12797.000000
1519.674842,1.617865,532013.000000,12825.000000
1522.846019,1.609088,528361.000000,12997.000000
1526.012778,1.608040,524573.000000,12935.000000
1529.175120,1.598218,520416.000000,13126.000000
1532.333045,1.593315,516298.000000,13170.000000
1535.486553,1.588433,511961.000000,13207.000000
1538.635644,1.581317,507264.000000,13302.000000
1541.780317,1.581470,502598.000000,13175.000000
1545.966345,1.564121,495525.000000,13519.000000
1549.100712,1.555879,490417.000000,13636.000000
1552.230662,1.552673,485561.000000,13601.000000
1555.356195,1.546253,480300.000000,13654.000000
1558.477312,1.539568,475181.000000,13718.000000
1561.594011,1.534152,469394.000000,13721.000000
1564.706292,1.527578,463084.000000,13743.000000
1567.814157,1.520479,456769.000000,13779.000000
1570.917605,1.516866,449763.000000,13681.000000
1574.016636,1.513526,442305.000000,13558.000000
1577.111250,1.509367,435601.000000,13481.000000
1580.201446,1.505628,429304.000000,13401.000000
1584.314837,1.502934,419868.000000,13188.000000
1587.394727,1.496962,412909.000000,13149.000000
1590.470200,1.494300,405705.000000,12999.000000
1593.541256,1.488166,398199.000000,12940.000000
1596.607895,1.486828,391483.000000,12761.000000
1599.670117,1.483952,384206.000000,12607.000000
1602.727922,1.482108,376903.000000,12420.000000
1605.781309,1.479086,369166.000000,12250.000000
1608.830280,1.477477,361766.000000,12049.000000
1611.874833,1.476291,354492.000000,11839.000000
1614.914970,1.473425,346895.000000,11662.000000
1618.961614,1.474709,336764.000000,11288.000000
1621.991444,1.468892,328280.000000,11152.000000
1625.016857,1.475437,320983.000000,10741.000000
1628.037853,1.476160,313615.000000,10477.000000
1631.054431,1.474787,305822.000000,10249.000000
1634.066593,1.475684,298052.000000,9968.000000
1637.074338,1.478452,289847.000000,9632.000000
1640.077665,1.479303,282546.000000,9371.000000
1643.076576,1.478130,275048.000000,9147.000000
1646.071069,1.481932,267456.000000,8817.000000
1649.061145,1.487752,259413.000000,8438.000000
1652.046804,1.488755,251508.000000,8162.000000
1656.020812,1.494573,240659.000000,7706.000000
1658.996165,1.503240,231683.000000,7272.000000
1661.967101,1.507701,221811.000000,6891.000000
1664.933619,1.505980,211187.000000,6587.000000
1667.895721,1.515833,198159.000000,6042.000000
1670.853405,1.519305,183583.000000,5553.000000
1673.806673,1.530488,166424.000000,4906.000000
1676.755523,1.518840,147885.000000,4478.000000
1679.699956,1.526582,128928.000000,3835.000000
1682.639972,1.531954,110621.000000,3250.000000
1685.575571,1.562364,94076.000000,2577.000000
1688.506753,1.569731,79942.000000,2153.000000
1692.408125,1.625428,64161.000000,1520.000000
1695.329001,1.643142,54477.000000,1239.000000
1698.245459,1.646873,46654.000000,1052.000000
1701.157501,1.696492,40021.000000,805.000000
