Method:,Hadamard 1,,
Host Date-Time:,21/9/17 @ 15:48:51,,
Header Version:,1,,
System Temp (C):,35.16,,
Detector Temp (C):,31.49,,
Humidity (%):,15.92,,
Lamp PD:,3784,,
Shift Vector Coefficients:,-4.94391,0.050722,-0.00012551,,
Pixel to Wavelength Coefficients:,1825.37,-0.904915,-0.000245393,,
Serial Number:,5490013,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,  2.703,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.954013,1.169851,49060.000000,3318.000000
905.892287,1.168108,55034.000000,3737.000000
909.826144,1.167550,60670.000000,4125.000000
913.755584,1.173613,66564.000000,4463.000000
917.680607,1.182034,73798.000000,4853.000000
921.601213,1.185812,82680.000000,5390.000000
925.517402,1.196292,93358.000000,5941.000000
929.429174,1.192899,105370.000000,6758.000000
933.336529,1.197316,117914.000000,7486.000000
937.239466,1.200543,129489.000000,8160.000000
941.137987,1.203070,140109.000000,8778.000000
945.032090,1.207769,149394.000000,9259.000000
950.217358,1.210149,160809.000000,9912.000000
954.101155,1.222260,168910.000000,10125.000000
957.980534,1.225631,177304.000000,10546.000000
961.855497,1.230693,185081.000000,10881.000000
965.726043,1.234746,193890.000000,11293.000000
969.592172,1.239450,202944.000000,11693.000000
973.453884,1.240696,211673.000000,12161.000000
977.311178,1.241509,220789.000000,12661.000000
981.164056,1.241420,229670.000000,13173.000000
985.012516,1.242609,238709.000000,13654.000000
988.856560,1.240435,247015.000000,14200.000000
992.696186,1.238329,254995.000000,14730.000000
997.808817,1.234191,264443.000000,15422.000000
1001.638136,1.231610,271279.000000,15915.000000
1005.463039,1.227007,277527.000000,16455.000000
1009.283525,1.225430,282638.000000,16819.000000
1013.099593,1.221918,286846.000000,17208.000000
1016.911245,1.218041,290773.000000,17600.000000
1020.718479,1.215638,294344.000000,17915.000000
1024.521297,1.215019,296615.000000,18079.000000
1028.319697,1.213376,298225.000000,18246.000000
1032.113680,1.211361,299236.000000,18393.000000
1035.903247,1.209000,300008.000000,18541.000000
1039.688396,1.204506,299754.000000,18718.000000
1044.728390,1.203786,299178.000000,18713.000000
1048.503233,1.202417,298603.000000,18736.000000
1052.273658,1.199461,298841.000000,18879.000000
1056.039667,1.199785,298985.000000,18874.000000
1059.801258,1.199614,298645.000000,18860.000000
1063.558432,1.199269,299136.000000,18906.000000
1067.311190,1.194557,299179.000000,19115.000000
1071.059530,1.200443,299581.000000,18883.000000
1074.803453,1.198011,300243.000000,19031.000000
1078.542959,1.200372,301102.000000,18982.000000
1082.278048,1.201399,302928.000000,19052.000000
1087.251296,1.203499,304860.000000,19081.000000
1090.976078,1.204512,305940.000000,19104.000000
1094.696443,1.206395,308331.000000,19170.000000
1098.412392,1.210376,310748.000000,19144.000000
1102.123923,1.213123,312998.000000,19161.000000
1105.831037,1.215892,315098.000000,19167.000000
1109.533734,1.220365,317331.000000,19105.000000
1113.232014,1.225639,320031.000000,19035.000000
1116.925877,1.225616,322065.000000,19157.000000
