Method:,Hadamard 1,,
1120.615323,1.232150,324387.000000,19007.000000
1124.300352,1.239430,326504.000000,18813.000000
1127.980964,1.245537,328628.000000,18671.000000
1132.881575,1.260188,331748.000000,18223.000000
1136.551880,1.274622,334038.000000,17749.000000
1140.217768,1.292014,336305.000000,17168.000000
1143.879240,1.310745,338467.000000,16549.000000
1147.536294,1.323062,341029.000000,16208.000000
1151.188931,1.333851,343568.000000,15928.000000
1154.837150,1.348839,346388.000000,15514.000000
1158.480953,1.358842,348724.000000,15263.000000
1162.120339,1.363963,351242.000000,15193.000000
1165.755308,1.370764,353874.000000,15069.000000
1169.385859,1.377048,356649.000000,14969.000000
1173.011994,1.381365,359562.000000,14942.000000
1177.839969,1.388367,363963.000000,14883.000000
1181.455797,1.388102,367114.000000,15021.000000
1185.067208,1.390302,371459.000000,15122.000000
1188.674202,1.396996,376057.000000,15075.000000
1192.276779,1.400010,381213.000000,15176.000000
1195.874938,1.401450,386738.000000,15345.000000
1199.468681,1.401005,391755.000000,15560.000000
1203.058007,1.402979,397005.000000,15697.000000
1206.642915,1.406234,402743.000000,15805.000000
1210.223407,1.405490,408846.000000,16072.000000
1213.799481,1.404688,414567.000000,16327.000000
1217.371139,1.402745,420274.000000,16626.000000
1222.126477,1.401914,429462.000000,17022.000000
1225.687828,1.401036,436148.000000,17322.000000
1229.244762,1.396095,442616.000000,17780.000000
1232.797279,1.392566,449528.000000,18205.000000
1236.345378,1.392670,456181.000000,18470.000000
1239.889061,1.393549,463539.000000,18730.000000
1243.428326,1.388214,470079.000000,19229.000000
1246.963175,1.388573,477832.000000,19530.000000
1250.493606,1.385817,486017.000000,19991.000000
1254.019620,1.384069,493169.000000,20367.000000
1257.541217,1.383938,500985.000000,20696.000000
1262.229809,1.384704,512345.000000,21128.000000
1265.741100,1.382198,521283.000000,21621.000000
1269.247974,1.383133,529269.000000,21905.000000
1272.750430,1.385759,537340.000000,22105.000000
1276.248470,1.384024,545875.000000,22546.000000
1279.742092,1.388144,555063.000000,22709.000000
1283.231297,1.388082,564343.000000,23092.000000
1286.716086,1.391140,572146.000000,23247.000000
1290.196457,1.391614,579645.000000,23526.000000
1293.672411,1.395802,587401.000000,23612.000000
1297.143948,1.401974,594698.000000,23568.000000
1300.611068,1.403726,600598.000000,23706.000000
1305.227024,1.411801,608153.000000,23562.000000
1308.683837,1.417691,613606.000000,23453.000000
1312.136234,1.425398,618333.000000,23218.000000
1315.584213,1.432570,622186.000000,22980.000000
1319.027775,1.439034,626212.000000,22787.000000
1322.466920,1.448061,629123.000000,22422.000000
1325.901648,1.456521,632257.000000,22099.000000
1329.331960,1.465205,634373.000000,21734.000000
1332.757853,1.473140,637449.000000,21444.000000
1336.179330,1.480896,638859.000000,21111.000000
1339.596390,1.489047,639307.000000,20733.000000
1343.009033,1.498572,639741.000000,20297.000000
1347.552352,1.506576,639954.000000,19933.000000
1350.954689,1.512847,639197.000000,19624.000000
1354.352608,1.519570,637095.000000,19259.000000
1357.746110,1.522497,635707.000000,19088.000000
1361.135195,1.528792,635123.000000,18796.000000
1364.519863,1.533618,634326.000000,18565.000000
1367.900114,1.541435,633706.000000,18216.000000
1371.275948,1.549106,632818.000000,17872.000000
1374.647365,1.559958,631840.000000,17404.000000
1378.014364,1.571728,630473.000000,16902.000000
1381.376947,1.583245,628531.000000,16409.000000
1384.735112,1.597902,626532.000000,15814.000000
1389.205796,1.618978,624624.000000,15019.000000
1392.553655,1.632840,623113.000000,14512.000000
1395.897097,1.645318,620419.000000,14040.000000
1399.236121,1.662016,617552.000000,13448.000000
1402.570729,1.667082,614762.000000,13232.000000
1405.900920,1.672966,612223.000000,13000.000000
1409.226694,1.678219,609090.000000,12778.000000
1412.548050,1.684297,606267.000000,12542.000000
1415.864990,1.685371,604085.000000,12466.000000
1419.177512,1.689790,601598.000000,12289.000000
1422.485618,1.691026,599041.000000,12202.000000
1425.789306,1.691072,597337.000000,12166.000000
1430.187353,1.694842,596156.000000,12037.000000
1433.480735,1.695695,594897.000000,11988.000000
1436.769700,1.699164,593265.000000,11860.000000
1440.054247,1.698522,592538.000000,11863.000000
1443.334378,1.695678,592442.000000,11939.000000
1446.610092,1.701941,591634.000000,11752.000000
1449.881388,1.700092,590624.000000,11782.000000
1453.148268,1.699145,589538.000000,11786.000000
1456.410730,1.703496,588501.000000,11648.000000
1459.668775,1.703981,587287.000000,11611.000000
1462.922403,1.700955,585671.000000,11660.000000
1467.253703,1.704553,582794.000000,11507.000000
1470.497025,1.702696,580610.000000,11513.000000
1473.735930,1.701313,577909.000000,11496.000000
1476.970417,1.700467,575029.000000,11461.000000
1480.200488,1.703486,572573.000000,11333.000000
1483.426141,1.701163,569317.000000,11329.000000
1486.647377,1.702010,566200.000000,11245.000000
1489.864197,1.703345,563548.000000,11158.000000
1493.076599,1.705189,560672.000000,11054.000000
1496.284584,1.705535,557463.000000,10982.000000
1499.488152,1.704165,554342.000000,10955.000000
1502.687303,1.701427,551461.000000,10967.000000
1506.945967,1.696081,547148.000000,11016.000000
1510.134811,1.699738,543660.000000,10854.000000
1513.319239,1.696849,539758.000000,10848.000000
1516.499249,1.696924,535471.000000,10760.000000
1519.674842,1.695525,532013.000000,10725.000000
1522.846019,1.689789,528361.000000,10793.000000
1526.012778,1.695690,524573.000000,10571.000000
1529.175120,1.689246,520416.000000,10644.000000
1532.333045,1.690637,516298.000000,10526.000000
1535.486553,1.688710,511961.000000,10484.000000
1538.635644,1.687700,507264.000000,10412.000000
1541.780317,1.688004,502598.000000,10309.000000
1545.966345,1.679999,495525.000000,10353.000000
1549.100712,1.675625,490417.000000,10350.000000
1552.230662,1.676114,485561.000000,10236.000000
1555.356195,1.677535,480300.000000,10092.000000
1558.477312,1.674650,475181.000000,10051.000000
1561.594011,1.669977,469394.000000,10036.000000
1564.706292,1.670815,463084.000000,9882.000000
1567.814157,1.667718,456769.000000,9817.000000
1570.917605,1.663623,449763.000000,9758.000000
1574.016636,1.662998,442305.000000,9610.000000
1577.111250,1.662647,435601.000000,9472.000000
1580.201446,1.659914,429304.000000,9394.000000
1584.314837,1.657112,419868.000000,9247.000000
1587.394727,1.653959,412909.000000,9160.000000
1590.470200,1.653004,405705.000000,9020.000000
1593.541256,1.654041,398199.000000,8832.000000
1596.607895,1.650506,391483.000000,8754.000000
1599.670117,1.646946,384206.000000,8662.000000
1602.727922,1.647475,376903.000000,8487.000000
1605.781309,1.640776,369166.000000,8442.000000
1608.830280,1.638618,361766.000000,8314.000000
1611.874833,1.637491,354492.000000,8168.000000
1614.914970,1.632196,346895.000000,8091.000000
1618.961614,1.633010,336764.000000,7840.000000
1621.991444,1.631223,328280.000000,7674.000000
1625.016857,1.629284,320983.000000,7537.000000
1628.037853,1.630405,313615.000000,7345.000000
1631.054431,1.628679,305822.000000,7191.000000
1634.066593,1.617322,298052.000000,7194.000000
1637.074338,1.621624,289847.000000,6927.000000
1640.077665,1.621142,282546.000000,6760.000000
1643.076576,1.624895,275048.000000,6524.000000
1646.071069,1.620598,267456.000000,6407.000000
1649.061145,1.610466,259413.000000,6361.000000
1652.046804,1.606064,251508.000000,6230.000000
1656.020812,1.598285,240659.000000,6069.000000
1658.996165,1.607954,231683.000000,5714.000000
1661.967101,1.602317,221811.000000,5542.000000
1664.933619,1.594612,211187.000000,5371.000000
1667.895721,1.587320,198159.000000,5125.000000
1670.853405,1.575591,183583.000000,4878.000000
1673.806673,1.558175,166424.000000,4603.000000
1676.755523,1.538176,147885.000000,4283.000000
1679.699956,1.515072,128928.000000,3938.000000
1682.639972,1.515564,110621.000000,3375.000000
1685.575571,1.507205,94076.000000,2926.000000
1688.506753,1.496917,79942.000000,2546.000000
1692.408125,1.508636,64161.000000,1989.000000
1695.329001,1.511939,54477.000000,1676.000000
1698.245459,1.514465,46654.000000,1427.000000
1701.157501,1.510973,40021.000000,1234.000000
