Method:,Hadamard 1,,
Host Date-Time:,21/9/17 @ 15:47:56,,
Header Version:,1,,
System Temp (C):,35,,
Detector Temp (C):,31.44,,
Humidity (%):,15.91,,
Lamp PD:,3784,,
Shift Vector Coefficients:,-4.94391,0.050722,-0.00012551,,
Pixel to Wavelength Coefficients:,1825.37,-0.904915,-0.000245393,,
Serial Number:,5490013,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,  2.705,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
1361.135195,1.208289,635123.000000,39316.000000
1364.519863,1.221148,634326.000000,38121.000000
1367.900114,1.237861,633706.000000,36646.000000
1371.275948,1.259176,632818.000000,34842.000000
1374.647365,1.280622,631840.000000,33112.000000
1378.014364,1.306390,630473.000000,31137.000000
1381.376947,1.331548,628531.000000,29294.000000
1384.735112,1.359462,626532.000000,27383.000000
1389.205796,1.399507,624624.000000,24895.000000
1392.553655,1.427323,623113.000000,23294.000000
1395.897097,1.444750,620419.000000,22281.000000
1399.236121,1.459773,617552.000000,21424.000000
1402.570729,1.470310,614762.000000,20816.000000
1405.900920,1.484817,612223.000000,20049.000000
1409.226694,1.505654,609090.000000,19012.000000
1412.548050,1.522163,606267.000000,18218.000000
1415.864990,1.537267,604085.000000,17532.000000
1419.177512,1.543425,601598.000000,17214.000000
1422.485618,1.554402,599041.000000,16713.000000
1425.789306,1.558735,597337.000000,16500.000000
1430.187353,1.566784,596156.000000,16165.000000
1433.480735,1.569861,594897.000000,16017.000000
1436.769700,1.572754,593265.000000,15867.000000
1440.054247,1.574444,592538.000000,15786.000000
1443.334378,1.573522,592442.000000,15817.000000
1446.610092,1.573616,591634.000000,15792.000000
1449.881388,1.577853,590624.000000,15612.000000
1453.148268,1.574336,589538.000000,15710.000000
1456.410730,1.577068,588501.000000,15584.000000
1459.668775,1.576869,587287.000000,15559.000000
1462.922403,1.570401,585671.000000,15749.000000
1467.253703,1.567794,582794.000000,15766.000000
1470.497025,1.561969,580610.000000,15919.000000
1473.735930,1.551354,577909.000000,16237.000000
1476.970417,1.547875,575029.000000,16286.000000
1480.200488,1.542696,572573.000000,16411.000000
1483.426141,1.538186,569317.000000,16488.000000
1486.647377,1.526602,566200.000000,16841.000000
1489.864197,1.520329,563548.000000,17006.000000
1493.076599,1.514698,560672.000000,17140.000000
1496.284584,1.508974,557463.000000,17268.000000
1499.488152,1.499822,554342.000000,17537.000000
1502.687303,1.492512,551461.000000,17742.000000
1506.945967,1.483871,547148.000000,17957.000000
1510.134811,1.477961,543660.000000,18087.000000
1513.319239,1.467901,539758.000000,18378.000000
1516.499249,1.460369,535471.000000,18551.000000
1519.674842,1.454406,532013.000000,18686.000000
1522.846019,1.447619,528361.000000,18850.000000
1526.012778,1.440961,524573.000000,19004.000000
1529.175120,1.434137,520416.000000,19152.000000
1532.333045,1.431390,516298.000000,19121.000000
1535.486553,1.425416,511961.000000,19223.000000
1538.635644,1.422272,507264.000000,19185.000000
1541.780317,1.412770,502598.000000,19429.000000
1545.966345,1.399564,495525.000000,19747.000000
1549.100712,1.393462,490417.000000,19820.000000
1552.230662,1.385583,485561.000000,19983.000000
1555.356195,1.379550,480300.000000,20043.000000
1558.477312,1.372800,475181.000000,20140.000000
1561.594011,1.367133,469394.000000,20156.000000
1564.706292,1.361105,463084.000000,20163.000000
1567.814157,1.353915,456769.000000,20220.000000
1570.917605,1.351346,449763.000000,20028.000000
1574.016636,1.345953,442305.000000,19942.000000
1577.111250,1.341263,435601.000000,19853.000000
1580.201446,1.335924,429304.000000,19808.000000
1584.314837,1.333948,419868.000000,19461.000000
1587.394727,1.327203,412909.000000,19438.000000
1590.470200,1.325203,405705.000000,19187.000000
1593.541256,1.321918,398199.000000,18975.000000
1596.607895,1.318209,391483.000000,18815.000000
1599.670117,1.314514,384206.000000,18623.000000
1602.727922,1.315777,376903.000000,18216.000000
1605.781309,1.313981,369166.000000,17916.000000
1608.830280,1.307325,361766.000000,17828.000000
1611.874833,1.307488,354492.000000,17463.000000
1614.914970,1.305150,346895.000000,17181.000000
1618.961614,1.305442,336764.000000,16668.000000
1621.991444,1.303524,328280.000000,16320.000000
1625.016857,1.303286,320983.000000,15966.000000
1628.037853,1.306037,313615.000000,15501.000000
1631.054431,1.307269,305822.000000,15073.000000
1634.066593,1.305647,298052.000000,14745.000000
1637.074338,1.307380,289847.000000,14282.000000
1640.077665,1.304744,282546.000000,14007.000000
1643.076576,1.308368,275048.000000,13522.000000
1646.071069,1.309252,267456.000000,13122.000000
1649.061145,1.309163,259413.000000,12730.000000
1652.046804,1.314406,251508.000000,12194.000000
1656.020812,1.318294,240659.000000,11564.000000
1658.996165,1.331068,231683.000000,10810.000000
1661.967101,1.328157,221811.000000,10419.000000
1664.933619,1.338882,211187.000000,9678.000000
1667.895721,1.338928,198159.000000,9080.000000
1670.853405,1.340485,183583.000000,8382.000000
1673.806673,1.341661,166424.000000,7578.000000
1676.755523,1.331012,147885.000000,6901.000000
1679.699956,1.340822,128928.000000,5882.000000
1682.639972,1.345824,110621.000000,4989.000000
1685.575571,1.368929,94076.000000,4023.000000
1688.506753,1.394784,79942.000000,3221.000000
1692.408125,1.416160,64161.000000,2461.000000
1695.329001,1.480458,54477.000000,1802.000000
1698.245459,1.461793,46654.000000,1611.000000
1701.157501,1.476481,40021.000000,1336.000000
